Question;Answer
If a user adds a new column to a table that already has rows, the existing rows will default to a value of _____ for the new column.;null
A(n)  ______ occurs when a transaction executes a query at time T1, and it runs the same query at same time T2, yielding additional rows that satisfy the query.;phantom read
The _____ protocol ensures that transaction logs are always written before any database data is actually updated.;write-ahead-log
The DBMS uses the information stored in the _____ log for a recovery requirement triggered by a ROLLBACK statement, a program’s abnormal termination, or a system failure such as a network discrepancy or a disk crash.;transaction
In a heavily used database management system (DBMS), the prevention and detection of _____ constitutes an important DBMS function.;deadlocks
The objective of _____ control is to ensure the serializability of transactions in a multiuser database environment.;concurrency
_____ can take place at any of the following levels: database, table, page, row, or field.;Locking
The _____ interleaves the execution of database operations to ensure serializability.;scheduler
_____-level locks are less restrictive than database-level locks, but they create traffic jams when many transactions are waiting to access the same table.;Table
The scheduler’s main job is to create a(n) _____ of a transaction’s operation, in which the interleaved executions of transactions yield the same results as if the transactions were executed in serial order.;serializable schedule
Database transaction _____ restores a database from an inconsistent state to a previously consistent state.;recovery
If T1 has not unlocked data item Y, T2 cannot begin, if T2 has not unlocked data item X, T1 cannot continue. Consequently, T1 and T2 each wait for the other to unlock the required data item. Such a deadlock is also known as a(n) _____.;deadly embrace
The _____ occurs when two concurrent transactions, T1 and T2, are updating the same data element and one of the updates is lost.;lost update problem
If a(n) _____ is issued before the termination of a transaction, the DBMS will restore the database only for that particular transaction, rather than for all transactions, in order to maintain the durability of the previous transactions.;ROLLBACK
The _____ rule states that only one transaction at a time can own an exclusive lock on the same object.;mutual exclusive
_____ are ordered sets of values that are crucial in speeding up data access.;Indexes
The _____ analyzes the SQL query and finds the most efficient way to access the data.;query optimizer
A(n)_____ is an index based on a specific SQL function or expression.;function-based index
_____ is a measure of the likelihood that an index will be used in query processing.;Index selectivity
_____ is evaluated based on client perspective.;SQL performance tuning
Database _____ activities can be divided into those taking place either on the client side or on the server side.;performance tuning
DBMS query processing has _____ phases.;three
A conditional expression is normally expressed within the _____ or HAVING clauses of a SQL statement.;WHERE
The _____ segment table space is used for transaction-recovery purposes.;rollback
Once an SQL statement is transformed, the DBMS creates what is commonly known as a(n) _____ plan.;execution
A(n) _____ table stores the end-user data and the index data in consecutive locations on permanent storage.;clustered index
The _____ table space is the most frequently accessed table space and should be stored in its own volume.;system
A(n) _____ request is a low-level read or write data access operation to or from computer devices.;I/O
A(n) _____ is good for simple and fast lookup operations based on equality conditions.;hash index
The _____ protocol is used by a DP to roll transactions back and forward with the help of the system's transaction log entries.;do-undo-redo
One of the advantages of a distributed database management system (DDBMS) is less danger of a single-_____ failure.;point
A user-friendly _____ is one advantage of a distributed database management system (DDBMS) .;interface
In a distributed database management system (DDBMS), _____ control is used to manage simultaneous data access and ensure data consistency across database fragments.;concurrency
Data _____ describes the process of deciding where to locate data.;allocation
In a basic distributed processing environment, the distributed processing system shares the database chores among three sites connected through a(n) _____.;communications network
In a distributed database management system (DDBMS), _____ occurs to determine the data location of local and remote fragments.;mapping
_____ management ensures that data move from one consistent state to another.;Transaction
During _____ replication, after an update, the originating DP node sends “messages” to the replica nodes to notify them of the update.;pull
The distributed database system must be _____ of the computer system hardware.;independent
In a distributed database management system (DDBMS), query _____ is used to find the best access strategy.;optimization
One of the advantages of a distributed database management system (DDBMS) is processor _____.;independence
The _____ forces the log entry to be written to permanent storage before the actual operation takes place.;write-ahead protocol
A transaction processor is also known as the _____ processor.;application
After an update, the originating DP node sends the changes to the replica nodes to ensure that data is immediately updated, during _____ replication.;push
In multidimensional terms, the ability to focus on slices of the cube to perform a more detailed analysis is known as _____.;slice and dice
A data _____ is a small, single-subject data warehouse subset that provides decision support to a small group of people.;mart
_____ are numeric measurements (values) that represent a specific business aspect or activity.;Facts
_____  means to decompose data into more atomic components or data at lower levels of aggregation.;Drill down
The most distinctive characteristic of modern OLAP tools is their capacity for _____ analysis.;multidimensional
A data _____ is a centralized, consolidated database that integrates data derived from the entire organization and from multiple sources with diverse formats.;warehouse
Data _____ tools are tools that provide advanced statistical analysis to uncover problems and opportunities hidden within business data.;mining
_____ is a collection of concepts, techniques, and processes for the proper identification, definition, and management of data elements within an organization.;MDM
_____ is a term used to describe a comprehensive, cohesive, and integrated set of tools and processes used to capture, collect, integrate, store, and analyze data with the purpose of generating and presenting information used to support business decision making.;Business intelligence
_____ use web-based technologies to present key business performance indicators or information in a single integrated view, generally using graphics in a clear, concise, and easy to understand manner.;Dashboards
_____ are qualifying characteristics that provide additional perspectives to a given fact.;Dimensions
_____ are quantifiable measurements (numeric or scale based) that assess a company’s effectiveness or success in reaching its strategic and operational goals.;KPI
_____ makes a copy of a table and places it in a different location to improve access time.;Replication
A(n)_____ is a read-only database optimized for data analysis and query processing.;data warehouse
______ is a human-readable text format for data interchange that defines attributes and values in a document.;JSON
______ databases simply store data with no attempt to understand the contents of the value component or its meaning.;KV
A method of text analysis that attempts to determine if a statement conveys a positive, negative, or neutral attitude is referred to as ______ analysis.;sentiment
______ ​refers to traditional, relational database technologies that use column-centric, not  row-centric storage.;Column-oriented database
In a graph database, the representation of a relationship between nodes is called a(n) ______.;edge
​______ is the coexistence of a variety of data storage and data management technologies within an organization’s infrastructure.;Polyglot persistence
______  is used to extract knowledge from sources of data—NoSQL databases, Hadoop data stores, and data warehouses—to provide decision support to all organizational users.;Data analytics
______ do not store relationships as perceived in the relational model and generally have no support for join operations.;Document databases
A database model that attempts to provide ACID-compliant transactions across a highly distributed infrastructure is ______.;NewSQL
In the context of the advancements in DBMS technology, the use of _____ data services can free the DBA from many lower-level technology-oriented tasks.;cloud
Performance monitoring and _____ activities are designed to ensure that the DBMS, utilities, and applications maintain satisfactory performance levels.;tuning
In the context of database administration, _____ is the extent to which individuals and organizations have the right to determine the “who, what, when, where, and how” of data usage.;privacy
A security _____ is a weakness in a system component that could be exploited to allow unauthorized access or cause service disruptions.;vulnerability
Within the data security framework, _____ is concerned with keeping data consistent and free of errors or anomalies.;integrity
Based on the type of decision-making support required, database users may be classified into: operational, tactical, or _____.;strategic
The DSO’s activities are often classified as _____ management, which includes all DBA activities designed to ensure data availability following a physical calamity or a database integrity failure.;disaster
In the context of data quality management tools, _____ software is one that gathers statistics, analyzes existing data sources and metadata to determine patterns, and compares the patterns against standards that the organization has defined.;data-profiling
