Question,Answer
"___-level locks are less restrictive than database-level locks, but they create traffic jams when many transactions are waiting to access the same table.",Table
"e scheduler’s main job is to create a(n) _____ of a transaction’s operation, in which the interleaved executions of transactions yield the same results as if the transactions were executed in serial order.",serializable schedule
tabase transaction _____ restores a database from an inconsistent state to a previously consistent state.,recovery
" T1 has not unlocked data item Y, T2 cannot begin; if T2 has not unlocked data item X, T1 cannot continue. Consequently, T1 and T2 each wait for the other to unlock the required data item. Such a deadlock is also known as a(n) _____.",deadly embrace
"e _____ occurs when two concurrent transactions, T1 and T2, are updating the same data element and one of the updates is lost.",lost update problem
" a(n) _____ is issued before the termination of a transaction, the DBMS will restore the database only for that particular transaction, rather than for all transactions, in order to maintain the durability of the previous transactions.",ROLLBACK
e _____ rule states that only one transaction at a time can own an exclusive lock on the same object.,mutual exclusive
___ are ordered sets of values that are crucial in speeding up data access.,Indexes
e _____ analyzes the SQL query and finds the most efficient way to access the data.,query optimizer
n)_____ is an index based on a specific SQL function or expression.,function-based index
___ is a measure of the likelihood that an index will be used in query processing.,Index selectivity
___ is evaluated based on client perspective.,SQL performance tuning
tabase _____ activities can be divided into those taking place either on the client side or on the server side.,performance tuning
MS query processing has _____ phases.,three
conditional expression is normally expressed within the _____ or HAVING clauses of a SQL statement.,WHERE
e _____ segment table space is used for transaction-recovery purposes.,rollback
"ce an SQL statement is transformed, the DBMS creates what is commonly known as a(n) _____ plan.",execution
n) _____ table stores the end-user data and the index data in consecutive locations on permanent storage.,clustered index
e _____ table space is the most frequently accessed table space and should be stored in its own volume.,system
n) _____ request is a low-level read or write data access operation to or from computer devices.,I/O
n) _____ is good for simple and fast lookup operations based on equality conditions.,hash index
e _____ protocol is used by a DP to roll transactions back and forward with the help of the system's transaction log entries.,do-undo-redo
e of the advantages of a distributed database management system (DDBMS) is less danger of a single-_____ failure.,point
user-friendly _____ is one advantage of a distributed database management system (DDBMS) .,interface
" a distributed database management system (DDBMS), _____ control is used to manage simultaneous data access and ensure data consistency across database fragments.",concurrency
ta _____ describes the process of deciding where to locate data.,allocation
" a basic distributed processing environment, the distributed processing system shares the database chores among three sites connected through a(n) _____.",communications network
" a distributed database management system (DDBMS), _____ occurs to determine the data location of local and remote fragments.",mapping
___ management ensures that data move from one consistent state to another.,Transaction
"ring _____ replication, after an update, the originating DP node sends “messages” to the replica nodes to notify them of the update.",pull
e distributed database system must be _____ of the computer system hardware.,independent
" a distributed database management system (DDBMS), query _____ is used to find the best access strategy.",optimization
e of the advantages of a distributed database management system (DDBMS) is processor _____.,independence
e _____ forces the log entry to be written to permanent storage before the actual operation takes place.,write-ahead protocol
transaction processor is also known as the _____ processor.,application
"ter an update, the originating DP node sends the changes to the replica nodes to ensure that data is immediately updated, during _____ replication.",push
" multidimensional terms, the ability to focus on slices of the cube to perform a more detailed analysis is known as _____.",slice and dice
"data _____ is a small, single-subject data warehouse subset that provides decision support to a small group of people.",mart
___ are numeric measurements (values) that represent a specific business aspect or activity.,Facts
___  means to decompose data into more atomic components or data at lower levels of aggregation.,Drill down
e most distinctive characteristic of modern OLAP tools is their capacity for _____ analysis.,multidimensional
"data _____ is a centralized, consolidated database that integrates data derived from the entire organization and from multiple sources with diverse formats.",warehouse
ta _____ tools are tools that provide advanced statistical analysis to uncover problems and opportunities hidden within business data.,mining
"___ is a collection of concepts, techniques, and processes for the proper identification, definition, and management of data elements within an organization.",MDM
"___ is a term used to describe a comprehensive, cohesive, and integrated set of tools and processes used to capture, collect, integrate, store, and analyze data with the purpose of generating and presenting information used to support business decision making.",Business intelligence
"___ use web-based technologies to present key business performance indicators or information in a single integrated view, generally using graphics in a clear, concise, and easy to understand manner.",Dashboards
___ are qualifying characteristics that provide additional perspectives to a given fact.,Dimensions
___ are quantifiable measurements (numeric or scale based) that assess a company’s effectiveness or success in reaching its strategic and operational goals.,KPI
___ makes a copy of a table and places it in a different location to improve access time.,Replication
n)_____ is a read-only database optimized for data analysis and query processing.,data warehouse
____ is a human-readable text format for data interchange that defines attributes and values in a document.,JSON
____ databases simply store data with no attempt to understand the contents of the value component or its meaning.,KV
"method of text analysis that attempts to determine if a statement conveys a positive, negative, or neutral attitude is referred to as ______ analysis.",sentiment
"____ ​refers to traditional, relational database technologies that use column-centric, not  row-centric storage.",Column-oriented database
" a graph database, the representation of a relationship between nodes is called a(n) ______.",edge
_____ is the coexistence of a variety of data storage and data management technologies within an organization’s infrastructure.,Polyglot persistence
"____  is used to extract knowledge from sources of data—NoSQL databases, Hadoop data stores, and data warehouses—to provide decision support to all organizational users.",Data analytics
____ do not store relationships as perceived in the relational model and generally have no support for join operations.,Document databases
database model that attempts to provide ACID-compliant transactions across a highly distributed infrastructure is ______.,NewSQL
" the context of the advancements in DBMS technology, the use of _____ data services can free the DBA from many lower-level technology-oriented tasks.",cloud
"rformance monitoring and _____ activities are designed to ensure that the DBMS, utilities, and applications maintain satisfactory performance levels.",tuning
" the context of database administration, _____ is the extent to which individuals and organizations have the right to determine the “who, what, when, where, and how” of data usage.",privacy
security _____ is a weakness in a system component that could be exploited to allow unauthorized access or cause service disruptions.,vulnerability
"thin the data security framework, _____ is concerned with keeping data consistent and free of errors or anomalies.",integrity
"sed on the type of decision-making support required, database users may be classified into: operational, tactical, or _____.",strategic
"e DSO’s activities are often classified as _____ management, which includes all DBA activities designed to ensure data availability following a physical calamity or a database integrity failure.",disaster
" the context of data quality management tools, _____ software is one that gathers statistics, analyzes existing data sources and metadata to determine patterns, and compares the patterns against standards that the organization has defined.",data-profiling
